InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,ContactEmail
530892,20235,assorted colour bird ornament,38,2010-12-01 00:00:00.000000,12.28,17772.0,,contact@shop.com
537738,68673,assorted colour bird ornament,34,2010-12-01 17:56:23.567134,15.45,16032.0,,not-an-email
536545,96634,SET 7 BABUSHKA NESTING BOXES,23,2010-12-02 11:52:47.134268,11.37,14284.0,United Kingdom,not-an-email
534388,88073,RED WOOLLY HOTTIE WHITE HEART.,43,2010-12-03 05:49:10.701402,23.47,17792.0,United Kingdom,hello@retail.co.uk
534329,34666,SET 7 BABUSHKA NESTING BOXES,-3,2010-12-03 23:45:34.268537,33.85,17775.0,Germany,hello@retail.co.uk
538585,50850,POPPY'S PLAYHOUSE BEDROOM,45,2010-12-04 17:41:57.835671,10.64,16791.0,  Spain,
530859,57790,n/a,41,2010-12-05 11:38:21.402805,15.87,13436.0,,contact@shop.com
536972,32305,n/a,20,2010-12-06 05:34:44.969939,46.45,15464.0,United Kingdom,user@@bad.com
532014,34182,RED WOOLLY HOTTIE WHITE HEART.,34,2010-12-06 23:31:08.537074,1.48,12032.0,Germany,
530941,31299,GLASS STAR FROSTED T-LIGHT HOLDER,21,2010-12-07 17:27:32.104208,22.5,17586.0,France,hello@retail.co.uk
535264,99511,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-08 11:23:55.671342,35.29,17775.0,,not-an-email
539755,77140,assorted colour bird ornament,37,2010-12-09 05:20:19.238476,6.67,12644.0,France,hello@retail.co.uk
537356,85676,,4,2010-12-09 23:16:42.805611,1.42,15386.0,Germany,hello@retail.co.uk
537610,83490,assorted colour bird ornament,8,2010-12-10 17:13:06.372745,6.05,15376.0,,not-an-email
537174,96321,assorted colour bird ornament,21,2010-12-11 11:09:29.939879,45.86,17179.0,eire,user@@bad.com
537859,19474,n/a,40,2010-12-12 05:05:53.507014,-0.53,15192.0,France,not-an-email
535131,89346,,13,2010-12-12 23:02:17.074148,8.6,14218.0,United Kingdom,not-an-email
531281,15990,SET 7 BABUSHKA NESTING BOXES,19,2010-12-13 16:58:40.641282,0.6,16460.0,eire,not-an-email
538396,52787,GLASS STAR FROSTED T-LIGHT HOLDER,-8,2010-12-14 10:55:04.208416,4.64,16013.0,,user@@bad.com
534503,63498,RED WOOLLY HOTTIE WHITE HEART.,-4,2010-12-15 04:51:27.775551,30.63,16837.0,eire,not-an-email
535003,42207,WHITE HANGING HEART T-LIGHT HOLDER,-7,2010-12-15 22:47:51.342685,11.32,17527.0,  Spain,user@@bad.com
533707,23155,GLASS STAR FROSTED T-LIGHT HOLDER,-6,2010-12-16 16:44:14.909819,28.03,15376.0,France,
531825,27306,POPPY'S PLAYHOUSE BEDROOM,42,2010-12-17 10:40:38.476953,29.1,12265.0,United Kingdom,user@@bad.com
539266,84218,GLASS STAR FROSTED T-LIGHT HOLDER,40,2010-12-18 04:37:02.044088,42.32,16637.0,United Kingdom,hello@retail.co.uk
537814,38684,POPPY'S PLAYHOUSE BEDROOM,39,2010-12-18 22:33:25.611222,-0.76,13622.0,  Spain,contact@shop.com
536438,37929,RED WOOLLY HOTTIE WHITE HEART.,-7,2010-12-19 16:29:49.178356,42.52,17543.0,United Kingdom,hello@retail.co.uk
534023,93101,,-6,2010-12-20 10:26:12.745490,30.58,14810.0,  Spain,contact@shop.com
538226,22948,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-21 04:22:36.312625,7.3,15717.0,Germany,
535453,92373,SET 7 BABUSHKA NESTING BOXES,23,2010-12-21 22:18:59.879759,38.42,16013.0,United Kingdom,not-an-email
534433,92886,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-12-22 16:15:23.446893,42.63,14271.0,United Kingdom,user@@bad.com
534504,63869,WHITE HANGING HEART T-LIGHT HOLDER,19,2010-12-23 10:11:47.014028,11.97,17460.0,United Kingdom,user@@bad.com
532272,24897,n/a,0,2010-12-24 04:08:10.581162,45.86,15376.0,France,hello@retail.co.uk
530921,24027,GLASS STAR FROSTED T-LIGHT HOLDER,33,2010-12-24 22:04:34.148296,22.18,13466.0,  Spain,
535545,35624,SET 7 BABUSHKA NESTING BOXES,8,2010-12-25 16:00:57.715430,29.77,17738.0,United Kingdom,hello@retail.co.uk
538878,61966,SET 7 BABUSHKA NESTING BOXES,-7,2010-12-26 09:57:21.282565,49.22,17821.0,  Spain,not-an-email
530638,23825,WHITE HANGING HEART T-LIGHT HOLDER,34,2010-12-27 03:53:44.849699,17.44,17691.0,eire,not-an-email
538582,51008,n/a,44,2010-12-27 21:50:08.416833,40.47,12627.0,Germany,not-an-email
538275,20393,WHITE HANGING HEART T-LIGHT HOLDER,-10,2010-12-28 15:46:31.983967,15.24,13956.0,,
532767,58625,POPPY'S PLAYHOUSE BEDROOM,16,2010-12-29 09:42:55.551102,39.76,16338.0,,user@@bad.com
536316,11903,RED WOOLLY HOTTIE WHITE HEART.,39,2010-12-30 03:39:19.118236,29.64,14274.0,United Kingdom,hello@retail.co.uk
531652,73812,SET 7 BABUSHKA NESTING BOXES,32,2010-12-30 21:35:42.685370,10.03,13956.0,France,not-an-email
537580,14985,SET 7 BABUSHKA NESTING BOXES,41,2010-12-31 15:32:06.252505,20.12,12859.0,France,not-an-email
537004,27533,POPPY'S PLAYHOUSE BEDROOM,14,2011-01-01 09:28:29.819639,15.2,13287.0,,hello@retail.co.uk
533544,25717,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-01-02 03:24:53.386773,2.98,17892.0,eire,
530679,84788,SET 7 BABUSHKA NESTING BOXES,32,2011-01-02 21:21:16.953907,0.52,15185.0,United Kingdom,not-an-email
539706,14804,SET 7 BABUSHKA NESTING BOXES,-1,2011-01-03 15:17:40.521042,16.67,14302.0,United Kingdom,hello@retail.co.uk
534456,48632,SET 7 BABUSHKA NESTING BOXES,4,2011-01-04 09:14:04.088176,-0.03,16831.0,United Kingdom,
538930,63202,RED WOOLLY HOTTIE WHITE HEART.,26,2011-01-05 03:10:27.655310,7.44,16649.0,United Kingdom,hello@retail.co.uk
536778,56439,n/a,30,2011-01-05 21:06:51.222444,35.98,13747.0,United Kingdom,hello@retail.co.uk
537783,71263,,-3,2011-01-06 15:03:14.789579,35.11,17609.0,Germany,hello@retail.co.uk
537598,82278,,20,2011-01-07 08:59:38.356713,36.67,14821.0,Germany,
531946,45426,,11,2011-01-08 02:56:01.923847,15.17,16918.0,United Kingdom,user@@bad.com
533638,84538,n/a,20,2011-01-08 20:52:25.490981,44.39,17954.0,France,hello@retail.co.uk
534666,38618,SET 7 BABUSHKA NESTING BOXES,47,2011-01-09 14:48:49.058116,29.29,12231.0,Germany,not-an-email
534977,98597,SET 7 BABUSHKA NESTING BOXES,-6,2011-01-10 08:45:12.625250,5.43,12772.0,France,contact@shop.com
530437,55406,SET 7 BABUSHKA NESTING BOXES,unknown,2011-01-11 02:41:36.192384,6.33,17586.0,France,not-an-email
535465,76240,SET 7 BABUSHKA NESTING BOXES,16,2011-01-11 20:37:59.759519,34.35,17772.0,France,user@@bad.com
531542,88749,WHITE HANGING HEART T-LIGHT HOLDER,36,2011-01-12 14:34:23.326653,7.82,17873.0,France,
537433,81337,GLASS STAR FROSTED T-LIGHT HOLDER,15,2011-01-13 08:30:46.893787,24.87,17596.0,eire,contact@shop.com
536829,86600,WHITE HANGING HEART T-LIGHT HOLDER,8,2011-01-14 02:27:10.460921,49.58,15326.0,Germany,
539224,58285,RED WOOLLY HOTTIE WHITE HEART.,36,2011-01-14 20:23:34.028056,-0.8,13943.0,eire,contact@shop.com
537446,13912,RED WOOLLY HOTTIE WHITE HEART.,31,2011-01-15 14:19:57.595190,-0.15,15326.0,eire,
533666,54377,SET 7 BABUSHKA NESTING BOXES,-2,2011-01-16 08:16:21.162324,49.65,16383.0,United Kingdom,
539674,26334,POPPY'S PLAYHOUSE BEDROOM,32,2011-01-17 02:12:44.729458,28.82,14758.0,,user@@bad.com
534108,90019,GLASS STAR FROSTED T-LIGHT HOLDER,35,2011-01-17 20:09:08.296593,5.47,13738.0,eire,
533257,31306,n/a,13,2011-01-18 14:05:31.863727,44.76,15194.0,  Spain,
539054,30526,SET 7 BABUSHKA NESTING BOXES,45,2011-01-19 08:01:55.430861,43.9,14348.0,United Kingdom,user@@bad.com
533704,32444,n/a,28,2011-01-20 01:58:18.997995,26.35,12772.0,  Spain,user@@bad.com
530763,67830,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-01-20 19:54:42.565130,30.71,12996.0,United Kingdom,hello@retail.co.uk
534695,61410,GLASS STAR FROSTED T-LIGHT HOLDER,-10,2011-01-21 13:51:06.132264,12.93,15643.0,,not-an-email
537956,95394,POPPY'S PLAYHOUSE BEDROOM,30,2011-01-22 07:47:29.699398,1.58,16082.0,France,
531894,47463,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-01-23 01:43:53.266533,29.32,15717.0,Germany,not-an-email
534628,35404,n/a,35,2011-01-23 19:40:16.833667,14.03,14962.0,  Spain,
531299,14432,SET 7 BABUSHKA NESTING BOXES,21,2011-01-24 13:36:40.400801,32.84,13436.0,Germany,contact@shop.com
536864,10636,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-01-25 07:33:03.967935,41.65,15157.0,France,
534756,43624,POPPY'S PLAYHOUSE BEDROOM,-1,2011-01-26 01:29:27.535070,-0.07,15535.0,,contact@shop.com
533301,93322,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-01-26 19:25:51.102204,29.38,15376.0,United Kingdom,
532268,57137,POPPY'S PLAYHOUSE BEDROOM,-1,2011-01-27 13:22:14.669338,10.8,12703.0,France,hello@retail.co.uk
535644,90418,assorted colour bird ornament,15,2011-01-28 07:18:38.236472,43.57,14706.0,,hello@retail.co.uk
536697,19150,POPPY'S PLAYHOUSE BEDROOM,40,2011-01-29 01:15:01.803607,11.94,14443.0,United Kingdom,
539402,18398,,45,2011-01-29 19:11:25.370741,30.15,14152.0,United Kingdom,contact@shop.com
534371,85010,n/a,49,2011-01-30 13:07:48.937875,27.23,15386.0,United Kingdom,not-an-email
531606,19606,RED WOOLLY HOTTIE WHITE HEART.,47,2011-01-31 07:04:12.505010,19.2,17930.0,,contact@shop.com
538325,14676,,23,2011-02-01 01:00:36.072144,33.56,17792.0,United Kingdom,user@@bad.com
536297,46367,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-02-01 18:56:59.639278,36.01,14338.0,Germany,hello@retail.co.uk
537001,93234,POPPY'S PLAYHOUSE BEDROOM,40,2011-02-02 12:53:23.206412,27.91,13259.0,eire,
